Date,Open,High,Low,Close,Volume,Risk Free Rate
2023-06-29,0.06256,0.06408,0.0624,0.0634,212355216.9,0.0385400009155273
2023-06-30,0.06341,0.06694,0.06094,0.06643,761429826.6,0.0381900000572204
2023-07-01,0.06643,0.07138,0.06637,0.06851,439084099.6,0.0381900000572204
2023-07-02,0.06851,0.06923,0.06594,0.068,287157547.7,0.0381900000572204
2023-07-03,0.068,0.06881,0.06726,0.06846,241300008.3,0.0385800004005432
2023-07-04,0.06844,0.07189,0.06765,0.06895,531773896.0,0.0385800004005432
2023-07-05,0.06894,0.06932,0.06559,0.067,295189690.2,0.0394499993324279
2023-07-06,0.06698,0.06856,0.06467,0.06487,280862109.2,0.0404099988937377
2023-07-07,0.06485,0.06588,0.06408,0.06543,208425450.6,0.0405000019073486
2023-07-08,0.06541,0.06609,0.06474,0.06575,131315220.6,0.0405000019073486
2023-07-09,0.06573,0.06639,0.06515,0.06538,99463073.8,0.0405000019073486
2023-07-10,0.06539,0.06621,0.06333,0.06523,264848324.1,0.0400600004196167
2023-07-11,0.06524,0.06549,0.06441,0.06529,123424852.4,0.0398000001907348
2023-07-12,0.0653,0.06573,0.06365,0.06505,148887825.9,0.0386100006103515
2023-07-13,0.06505,0.07171,0.06456,0.07044,572283560.9,0.03760999917984
2023-07-14,0.07044,0.07313,0.06621,0.06851,700267100.0,0.0381900000572204
2023-07-15,0.0685,0.07517,0.06772,0.07195,819504031.7,0.0381900000572204
2023-07-16,0.07196,0.07226,0.06893,0.06957,359561807.3,0.0381900000572204
2023-07-17,0.06956,0.07329,0.06779,0.06987,427633738.5,0.0379699993133544
2023-07-18,0.06984,0.07033,0.06704,0.06868,203501328.1,0.0378900003433227
2023-07-19,0.06867,0.07236,0.0683,0.07003,455434638.9,0.0374200010299682
2023-07-20,0.07003,0.07388,0.06929,0.0706,634650185.2,0.0385400009155273
2023-07-21,0.07059,0.07684,0.07029,0.07325,769555879.6,0.0383699989318847
2023-07-22,0.07322,0.07333,0.06967,0.07054,262445254.6,0.0383699989318847
2023-07-23,0.07053,0.07295,0.07001,0.07181,167922341.8,0.0383699989318847
2023-07-24,0.07181,0.07793,0.07017,0.07419,832911366.2,0.0385700011253356
2023-07-25,0.07419,0.08384,0.0736,0.08185,1044579616.5,0.0391199994087219
2023-07-26,0.08183,0.08226,0.07648,0.07798,585794693.8,0.0385100007057189
2023-07-27,0.07797,0.07998,0.07663,0.0776,289719578.3,0.0401200008392334
2023-07-28,0.07755,0.0779,0.07601,0.07715,189015078.1,0.0396900010108947
2023-07-29,0.07717,0.08242,0.07682,0.08026,280185209.5,0.0396900010108947
2023-07-30,0.08024,0.08057,0.07636,0.07808,226362856.4,0.0396900010108947
2023-07-31,0.07805,0.07979,0.07674,0.07785,204707709.9,0.0395900011062622
2023-08-01,0.07786,0.07827,0.0753,0.0781,202118884.0,0.0405100011825561
2023-08-02,0.0781,0.0783,0.07374,0.0742,214792418.2,0.0407800006866455
2023-08-03,0.07416,0.07498,0.07242,0.07354,208957615.8,0.041890001296997
2023-08-04,0.07355,0.07488,0.0724,0.07339,183618637.2,0.0405999994277954
2023-08-05,0.07339,0.077,0.07281,0.07565,214667185.3,0.0405999994277954
2023-08-06,0.07565,0.07642,0.07398,0.07416,135814673.3,0.0405999994277954
2023-08-07,0.07415,0.07557,0.07157,0.07347,159146898.5,0.0407800006866455
2023-08-08,0.07346,0.07546,0.07312,0.07494,166025992.8,0.0402600002288818
2023-08-09,0.07494,0.0762,0.07411,0.07536,177911173.8,0.0401200008392334
2023-08-10,0.07535,0.07688,0.07506,0.07579,153940653.3,0.0407999992370605
2023-08-11,0.07579,0.07605,0.07475,0.07566,103834483.7,0.0416800022125244
2023-08-12,0.07569,0.07735,0.07554,0.07667,168338787.1,0.0416800022125244
2023-08-13,0.07666,0.07682,0.07419,0.07469,144831710.8,0.0416800022125244
2023-08-14,0.07469,0.07702,0.07358,0.07463,199071348.2,0.0418400001525878
2023-08-15,0.07463,0.07488,0.06818,0.07086,248269353.9,0.0422100019454956
2023-08-16,0.07084,0.07118,0.06605,0.06711,267114482.7,0.0425799989700317
2023-08-17,0.06711,0.06833,0.05821,0.06105,465717089.6,0.0430800008773803
2023-08-18,0.06104,0.06384,0.0599,0.06323,358228741.9,0.0425099992752075
2023-08-19,0.06323,0.06449,0.06309,0.0638,90402417.2,0.0425099992752075
2023-08-20,0.06381,0.0647,0.06337,0.06384,70049897.4,0.0425099992752075
2023-08-21,0.06385,0.06411,0.06038,0.06252,144698399.6,0.0434200000762939
2023-08-22,0.06252,0.06328,0.06028,0.06254,173706107.5,0.0432800006866455
2023-08-23,0.06254,0.06527,0.06243,0.06378,200759115.1,0.0419799995422363
2023-08-24,0.06377,0.06404,0.06186,0.06305,98854446.0,0.042350001335144
2023-08-25,0.06306,0.06313,0.06167,0.06309,75078319.2,0.0423899984359741
2023-08-26,0.06308,0.06335,0.06258,0.06287,30236780.4,0.0423899984359741
2023-08-27,0.06286,0.06376,0.06265,0.06315,44169790.2,0.0423899984359741
2023-08-28,0.06314,0.06362,0.06184,0.06342,85015339.7,0.0421199989318847
2023-08-29,0.06341,0.0686,0.06239,0.0664,340476506.5,0.0412200021743774
2023-08-30,0.06637,0.06645,0.06436,0.06588,136671301.4,0.0411800003051757
2023-08-31,0.06587,0.067,0.0628,0.06377,223041313.1,0.0409299993515014
2023-09-01,0.06378,0.06421,0.06229,0.06385,134262353.4,0.041729998588562
2023-09-02,0.06383,0.06495,0.06262,0.06349,115322476.3,0.041729998588562
2023-09-03,0.06348,0.06377,0.06275,0.06317,53584862.1,0.041729998588562
2023-09-04,0.06317,0.06385,0.06207,0.06325,78202735.1,0.041729998588562
2023-09-05,0.06324,0.06435,0.06283,0.06399,107184366.8,0.04268000125885
